手机型号,上市时间,最低价格,最高价格,评价数,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,屏幕类型,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,充电接口,充电功率,网络类型,5G,无线充电
vivo iQOO 3,202002,3598,4398,32414,6,12,128,256,214.5,6.44,Super AMOLED,2400x1080,高通骁龙865,109.1,8,2.84,Adreno 650,iQOO UI,4,4800,1600,4440,Type-C,55,全网通,Yes,0
vivo iQOO Neo 855竞速版,201912,2298,2498,50972,8,12,128,128,198.5,6.38,Super AMOLED,2340x1080,骁龙855+,104.4,8,2.96,Adreno 640,iQOO Monster UI,3,1200,1600,4500,Type-C,33,全网通,No,0
vivo iQOO Neo 855,201910,1798,2198,223746,6,8,64,128,198.5,6.38,Super AMOLED,2340x1080,骁龙855,102.9,8,2.8,Adreno 640,iQOO Monster UI,3,1200,1600,4500,Type-C,33,全网通,No,0
vivo NEX 3S,202003,4998,5298,4956,8,12,256,256,219.5,6.89,AMOLED,2256x1080,高通骁龙865,108.8,8,2.84,Adreno 650,untouch OS_10,3,6400,1600,4500,Type-C,45,全网通,Yes,0
vivo NEX 3,201909,4498,4498,25397,8,8,256,256,217.3,6.89,Super AMOLED,2256x1080,骁龙855+,104.2,8,2.96,Adreno 640,Funtouch OS 9.1,3,6400,1600,4500,Type-C,45,全网通,Yes,0
vivo X30 Pro,201912,3998,4298,13541,8,8,128,256,198.5,6.44,Super AMOLED,2400x1080,Exynos 980,101.7,8,2.2,Mali-G76,Funtouch OS 10,4,6400,3200,4350,Type-C,33,全网通,Yes,0
vivo X30,201912,3298,3598,41835,8,8,128,256,196.5,6.44,Super AMOLED,2400x1080,Exynos 980,101.7,8,2.2,Mali-G76,Funtouch OS 10,3,6400,3200,4350,Type-C,33,全网通,Yes,0
vivo X27,201903,2498,2798,112973,8,8,128,256,188.3,6.39,Super AMOLED,2340x1080,骁龙710,84.2,8,2.2,Adreno 616,Funtouch OS 9,3,4800,1600,4000,Type-C,22.5,全网通,No,0
vivo S1 Pro,201905,1698,2298,47098,6,8,128,256,185,6.39,Super AMOLED,2340x1080,骁龙675AIE,82.8,8,2.4,Adreno 620,Funtouch OS 9,3,4800,3200,3700,Micro USB,10,全网通,No,0
vivo Z6,202002,2298,2698,27482,6,8,128,128,201,6.57,TFT LCD,2400x1080,骁龙675G,83.4,8,2.4,Adreno 620,Funtouch OS 10,4,4800,1600,5000,Type-C,44,全网通,Yes,0
